split,query_id,true_host,predicted_host,top_hit_id,top_hit_host,top_hit_phage_id,top_hit_sequence_cluster_40,query_phage_id,query_sequence_cluster_40,pident,alignment_length,query_coverage,subject_coverage,evalue,bitscore,correct,audit_note
validation,AYR04237.1,escherichia,acinetobacter,AGY48149.1,acinetobacter,KF669658,official_cdhit_seq_cluster_40_01101,MH992123,official_cdhit_seq_cluster_40_00724,23.026,,85,,3.87e-11,65.5,False,
validation,AYR04249.1,escherichia,escherichia,QXV78164.1,escherichia,MZ501063,official_cdhit_seq_cluster_40_00605,MH992123,official_cdhit_seq_cluster_40_00112,23.210,,50,,3.64e-09,59.7,True,
validation,AYR04250.1,escherichia,pseudomonas,ATW58130.1,pseudomonas,MG018928,official_cdhit_seq_cluster_40_00683,MH992123,official_cdhit_seq_cluster_40_02227,36.691,,49,,6.68e-44,159.0,False,
validation,CAE6410373.1,escherichia,escherichia,QXV81381.1,escherichia,MZ501084,official_cdhit_seq_cluster_40_00605,LR999871,official_cdhit_seq_cluster_40_00112,30.108,,49,,1.49e-09,61.2,True,
validation,CAE6410382.1,escherichia,pseudomonas,ATW58130.1,pseudomonas,MG018928,official_cdhit_seq_cluster_40_00683,LR999871,official_cdhit_seq_cluster_40_02227,37.770,,49,,8.21e-48,170.0,False,
validation,CAH0462311.1,escherichia,escherichia,QXV81381.1,escherichia,MZ501084,official_cdhit_seq_cluster_40_00605,OV049961,official_cdhit_seq_cluster_40_00112,31.551,,49,,1.97e-10,63.9,True,
validation,CAH1091243.1,acinetobacter,acinetobacter,QJS52914.1,acinetobacter,MT361972,official_cdhit_seq_cluster_40_03061,CAKLQF020000022,official_cdhit_seq_cluster_40_03007,40.824,,65,,2.98e-51,174.0,True,
validation,CAH1091261.1,acinetobacter,pseudomonas,UOL48387.1,pseudomonas,OM982619,official_cdhit_seq_cluster_40_04201,CAKLQF020000022,official_cdhit_seq_cluster_40_04299,27.381,,70,,2.49e-04,39.3,False,
validation,CAH1092948.1,acinetobacter,acinetobacter,QJS52914.1,acinetobacter,MT361972,official_cdhit_seq_cluster_40_03061,CAKLQF020000027,official_cdhit_seq_cluster_40_03007,40.217,,68,,6.61e-52,176.0,True,
validation,CAH6421885.1,escherichia,pseudomonas,ATW58130.1,pseudomonas,MG018928,official_cdhit_seq_cluster_40_00683,OW991345,official_cdhit_seq_cluster_40_02227,37.770,,49,,1.16e-47,169.0,False,
validation,CAI7679411.1,enterococcus,enterococcus,UMO77020.1,enterococcus,OL799260,official_cdhit_seq_cluster_40_00024,OX422066,official_cdhit_seq_cluster_40_00145,62.391,,25,,3.30e-109,377.0,True,
validation,CCG06210.1,escherichia,klebsiella,OX335396_00070,klebsiella,OX335396,official_cdhit_seq_cluster_40_04596,HE664024,official_cdhit_seq_cluster_40_04657,36.364,,71,,3.91e-14,65.1,False,
validation,CP054387_00045,escherichia,klebsiella,OX335396_00070,klebsiella,OX335396,official_cdhit_seq_cluster_40_04596,CP054387,official_cdhit_seq_cluster_40_04657,37.692,,73,,2.14e-14,65.9,False,
validation,CP054387_00046,escherichia,escherichia,CDN90784.1,escherichia,FO818745,official_cdhit_seq_cluster_40_00498,CP054387,official_cdhit_seq_cluster_40_00356,47.209,,48,,4.87e-142,451.0,True,
validation,OK490412_00036,klebsiella,klebsiella,QEG04422.1,klebsiella,MN013086,official_cdhit_seq_cluster_40_04079,OK490412,official_cdhit_seq_cluster_40_03900,26.923,,94,,2.51e-04,40.0,True,
validation,OK490416_00076,klebsiella,klebsiella,UAW06833.1,klebsiella,MZ836210,official_cdhit_seq_cluster_40_00675,OK490416,official_cdhit_seq_cluster_40_01714,49.242,,20,,1.92e-28,119.0,True,
validation,OM632664_00027,escherichia,acinetobacter,AGY48149.1,acinetobacter,KF669658,official_cdhit_seq_cluster_40_01101,OM632664,official_cdhit_seq_cluster_40_00724,23.026,,39,,2.42e-11,65.9,False,
validation,OM632664_00040,escherichia,pseudomonas,ATW58130.1,pseudomonas,MG018928,official_cdhit_seq_cluster_40_00683,OM632664,official_cdhit_seq_cluster_40_02227,38.610,,47,,8.04e-46,164.0,False,
validation,OM964875_00064,klebsiella,klebsiella,KY575286_00071,klebsiella,KY575286,official_cdhit_seq_cluster_40_00998,OM964875,official_cdhit_seq_cluster_40_00608,96.373,,21,,2.87e-111,360.0,True,
validation,OP745420_00030,enterococcus,enterococcus,UMO77020.1,enterococcus,OL799260,official_cdhit_seq_cluster_40_00024,OP745420,official_cdhit_seq_cluster_40_00145,62.798,,52,,4.00e-113,372.0,True,
validation,OP745420_00031,enterococcus,staphylococcus,ANT44711.1,staphylococcus,KX171212,official_cdhit_seq_cluster_40_00405,OP745420,official_cdhit_seq_cluster_40_02698,30.928,,42,,3.45e-16,79.7,False,
validation,QBI84127.1,pseudomonas,escherichia,AKH49390.1,escherichia,KR073661,official_cdhit_seq_cluster_40_04163,MK511066,official_cdhit_seq_cluster_40_04590,52.023,,97,,1.10e-61,188.0,False,
validation,QBI84128.1,pseudomonas,escherichia,AKH49391.1,escherichia,KR073661,official_cdhit_seq_cluster_40_01933,MK511066,official_cdhit_seq_cluster_40_01212,45.625,,21,,1.22e-34,135.0,False,
validation,QBI84132.1,pseudomonas,escherichia,,,,,MK511066,official_cdhit_seq_cluster_40_04936,,,,,,,False,no BLAST hit; majority-host fallback
validation,QBO65890.1,escherichia,klebsiella,UQJ95516.1,klebsiella,OM971649,official_cdhit_seq_cluster_40_02582,MK327945,official_cdhit_seq_cluster_40_01326,22.472,,11,,3.9,28.9,False,
validation,QDF14951.1,escherichia,acinetobacter,AGY48149.1,acinetobacter,KF669658,official_cdhit_seq_cluster_40_01101,MK931297,official_cdhit_seq_cluster_40_00724,23.140,,79,,1.82e-10,63.2,False,
validation,QDF14962.1,escherichia,escherichia,QXV78164.1,escherichia,MZ501063,official_cdhit_seq_cluster_40_00605,MK931297,official_cdhit_seq_cluster_40_00112,23.210,,50,,3.43e-09,60.1,True,
validation,QDF14963.1,escherichia,pseudomonas,ATW58130.1,pseudomonas,MG018928,official_cdhit_seq_cluster_40_00683,MK931297,official_cdhit_seq_cluster_40_02227,38.996,,47,,5.94e-47,167.0,False,
validation,QEG10357.1,klebsiella,escherichia,CAJ42254.1,escherichia,AM156909,official_cdhit_seq_cluster_40_00556,MN101222,official_cdhit_seq_cluster_40_01849,51.376,,17,,1.82e-25,110.0,False,
validation,QEG11145.1,klebsiella,klebsiella,ACY66699.1,klebsiella,GQ413937,official_cdhit_seq_cluster_40_00790,MN101227,official_cdhit_seq_cluster_40_01162,95.455,,20,,5.51e-89,297.0,True,
validation,QGF19612.1,escherichia,escherichia,ATS92541.1,escherichia,MG208881,official_cdhit_seq_cluster_40_00411,MN187550,official_cdhit_seq_cluster_40_01486,46.542,,74,,8.40e-156,474.0,True,
validation,QGK90498.1,acinetobacter,acinetobacter,UVD33039.1,acinetobacter,OP019135,official_cdhit_seq_cluster_40_01503,MN604239,official_cdhit_seq_cluster_40_01431,63.197,,37,,1.14e-95,310.0,True,
validation,QIA28514.1,staphylococcus,klebsiella,UZN24216.1,klebsiella,OP413828,official_cdhit_seq_cluster_40_01781,MN940411,official_cdhit_seq_cluster_40_00336,78.947,,7,,1.06e-11,67.4,False,
validation,QIA28515.1,staphylococcus,klebsiella,QWT56644.1,klebsiella,MW590329,official_cdhit_seq_cluster_40_02158,MN940411,official_cdhit_seq_cluster_40_01761,23.932,,18,,1.77e-05,46.2,False,
validation,QIA28516.1,staphylococcus,staphylococcus,MZ417334_00205,staphylococcus,MZ417334,official_cdhit_seq_cluster_40_01293,MN940411,official_cdhit_seq_cluster_40_01460,25.061,,72,,5.57e-08,53.9,True,
validation,QIA28519.1,staphylococcus,enterococcus,UQT00485.1,enterococcus,ON113169,official_cdhit_seq_cluster_40_00324,MN940411,official_cdhit_seq_cluster_40_00268,48.145,,99,,0.0,1100.0,False,
validation,QIA28521.1,staphylococcus,klebsiella,BBF66867.1,klebsiella,LC413194,official_cdhit_seq_cluster_40_00877,MN940411,official_cdhit_seq_cluster_40_02131,23.400,,88,,7.25e-27,114.0,False,
validation,QIA28610.1,staphylococcus,klebsiella,BAQ02841.1,klebsiella,AB897757,official_cdhit_seq_cluster_40_00739,MN940411,official_cdhit_seq_cluster_40_02513,32.184,,17,,0.002,39.7,False,
validation,QIA28670.1,staphylococcus,escherichia,AVZ45589.1,escherichia,MH051334,official_cdhit_seq_cluster_40_01538,MN940411,official_cdhit_seq_cluster_40_02260,27.602,,35,,0.16,33.1,False,
validation,QIA28689.1,staphylococcus,klebsiella,QQV92007.1,klebsiella,MW394391,official_cdhit_seq_cluster_40_01319,MN940411,official_cdhit_seq_cluster_40_01443,33.333,,12,,0.52,32.0,False,
validation,QIA28696.1,staphylococcus,staphylococcus,WCO82424.1,staphylococcus,OP856857,official_cdhit_seq_cluster_40_00991,MN940411,official_cdhit_seq_cluster_40_00011,29.227,,77,,7.10e-48,176.0,True,
validation,QIA28727.1,staphylococcus,escherichia,OX461087_00052,escherichia,OX461087,official_cdhit_seq_cluster_40_03965,MN940411,official_cdhit_seq_cluster_40_01640,36.145,,12,,0.005,37.7,False,
validation,QIA28728.1,staphylococcus,enterococcus,ASZ76807.1,enterococcus,MF001358,official_cdhit_seq_cluster_40_03823,MN940411,official_cdhit_seq_cluster_40_00011,48.276,,3,,0.28,32.7,False,
validation,QJD54995.1,pseudomonas,staphylococcus,AIB56192.1,staphylococcus,KJ452291,official_cdhit_seq_cluster_40_01976,MT104471,official_cdhit_seq_cluster_40_02036,33.333,,5,,9.0,27.7,False,
validation,QOI58119.1,escherichia,escherichia,QEG09711.1,escherichia,MK903279,official_cdhit_seq_cluster_40_00699,MT833387,official_cdhit_seq_cluster_40_01084,44.838,,80,,3.27e-166,502.0,True,
validation,QPN96335.1,escherichia,escherichia,QXV81381.1,escherichia,MZ501084,official_cdhit_seq_cluster_40_00605,MW175414,official_cdhit_seq_cluster_40_00112,30.108,,47,,1.45e-09,61.2,True,
validation,QPN96336.1,escherichia,pseudomonas,ATW58130.1,pseudomonas,MG018928,official_cdhit_seq_cluster_40_00683,MW175414,official_cdhit_seq_cluster_40_02227,38.824,,46,,4.11e-46,165.0,False,
validation,QQM14191.1,enterobacter,pseudomonas,ANU79109.1,pseudomonas,KX458241,official_cdhit_seq_cluster_40_00815,MW205203,official_cdhit_seq_cluster_40_00950,28.205,,14,,0.008,38.1,False,
validation,QQO90808.1,pseudomonas,enterobacter,AFE86146.1,enterobacter,JQ267518,official_cdhit_seq_cluster_40_02320,MW286266,official_cdhit_seq_cluster_40_02014,41.406,,21,,2.77e-23,102.0,False,
validation,QQO90859.1,pseudomonas,enterobacter,AFE86146.1,enterobacter,JQ267518,official_cdhit_seq_cluster_40_02320,MW286267,official_cdhit_seq_cluster_40_02014,41.406,,21,,2.56e-23,102.0,False,
validation,QQO97001.1,acinetobacter,acinetobacter,AZU99445.1,acinetobacter,MK257723,official_cdhit_seq_cluster_40_00960,MW345241,official_cdhit_seq_cluster_40_01272,83.784,,30,,3.94e-103,333.0,True,
validation,QXV75778.1,escherichia,escherichia,QHR65697.1,escherichia,MN850571,official_cdhit_seq_cluster_40_01435,MZ501049,official_cdhit_seq_cluster_40_02886,31.418,,61,,7.41e-31,123.0,True,
validation,QYV99574.1,pseudomonas,klebsiella,QBP07807.1,klebsiella,MK416020,official_cdhit_seq_cluster_40_00532,MT995928,official_cdhit_seq_cluster_40_04899,29.310,,44,,2.4,26.2,False,
validation,SPF82154.1,pseudomonas,pseudomonas,BEQ12904.1,pseudomonas,LC776701,official_cdhit_seq_cluster_40_03659,LT986460,official_cdhit_seq_cluster_40_03619,41.212,,41,,1.04e-25,102.0,True,
validation,UAW09804.1,acinetobacter,acinetobacter,WCF71633.1,acinetobacter,OQ101251,official_cdhit_seq_cluster_40_00649,MZ868724,official_cdhit_seq_cluster_40_01222,97.333,,20,,1.42e-92,303.0,True,
validation,UAW09972.1,acinetobacter,acinetobacter,WIS40047.1,acinetobacter,OR075895,official_cdhit_seq_cluster_40_01503,MZ936314,official_cdhit_seq_cluster_40_01431,62.825,,37,,7.30e-95,308.0,True,
validation,UAW10027.1,acinetobacter,acinetobacter,QQM15083.1,acinetobacter,MW366784,official_cdhit_seq_cluster_40_01639,MZ936315,official_cdhit_seq_cluster_40_01278,98.667,,20,,1.43e-93,304.0,True,
validation,UCR74491.1,klebsiella,escherichia,VUF53389.1,escherichia,LR597645,official_cdhit_seq_cluster_40_02421,OK019720,official_cdhit_seq_cluster_40_01849,44.776,,37,,1.72e-27,114.0,False,
validation,UMO77109.1,escherichia,escherichia,ATS92541.1,escherichia,MG208881,official_cdhit_seq_cluster_40_00411,OM272052,official_cdhit_seq_cluster_40_01486,48.485,,77,,6.12e-163,491.0,True,
validation,UPU15850.1,klebsiella,escherichia,VUF53389.1,escherichia,LR597645,official_cdhit_seq_cluster_40_02421,ON045001,official_cdhit_seq_cluster_40_01849,39.429,,42,,1.05e-26,112.0,False,
validation,UUG68514.1,acinetobacter,acinetobacter,QJS52914.1,acinetobacter,MT361972,official_cdhit_seq_cluster_40_03061,ON531988,official_cdhit_seq_cluster_40_03007,42.797,,59,,7.60e-51,173.0,True,
validation,UUU45390.1,klebsiella,klebsiella,ACY66699.1,klebsiella,GQ413937,official_cdhit_seq_cluster_40_00790,OP013026,official_cdhit_seq_cluster_40_01162,95.455,,20,,1.15e-88,296.0,True,
validation,UVX31720.1,klebsiella,klebsiella,QYW02926.1,klebsiella,MZ440881,official_cdhit_seq_cluster_40_00598,ON602760,official_cdhit_seq_cluster_40_00696,62.555,,25,,1.06e-77,268.0,True,
validation,UZS00914.1,pseudomonas,pseudomonas,UMO76441.1,pseudomonas,OL412002,official_cdhit_seq_cluster_40_03235,OP714164,official_cdhit_seq_cluster_40_02960,48.936,,12,,1.12e-05,45.4,True,
validation,WAX12405.1,enterococcus,enterococcus,QBZ69316.1,enterococcus,MK721190,official_cdhit_seq_cluster_40_01572,OP172780,official_cdhit_seq_cluster_40_02473,23.438,,69,,8.16e-09,56.6,True,
validation,WAX12581.1,enterococcus,enterococcus,QBZ69316.1,enterococcus,MK721190,official_cdhit_seq_cluster_40_01572,OP172781,official_cdhit_seq_cluster_40_02473,23.438,,69,,1.22e-08,55.8,True,
validation,WAX12700.1,enterococcus,enterococcus,QBZ69316.1,enterococcus,MK721190,official_cdhit_seq_cluster_40_01572,OP172783,official_cdhit_seq_cluster_40_02473,30.702,,36,,8.38e-04,40.4,True,
validation,WAX12754.1,enterococcus,enterococcus,WGH50155.1,enterococcus,OQ623132,official_cdhit_seq_cluster_40_01429,OP172783,official_cdhit_seq_cluster_40_03565,32.090,,42,,2.59e-11,62.8,True,
validation,WAX22756.1,pseudomonas,pseudomonas,ASD52219.1,pseudomonas,KY971611,official_cdhit_seq_cluster_40_01844,OP924544,official_cdhit_seq_cluster_40_01620,81.325,,24,,7.68e-86,281.0,True,
test,ADQ12745.1,acinetobacter,acinetobacter,WEM05711.1,acinetobacter,OQ451773,official_cdhit_seq_cluster_40_00649,HQ186308,official_cdhit_seq_cluster_40_00698,96.465,,22,,2.95e-125,399.0,True,
test,AEV89494.1,pseudomonas,klebsiella,QEG10055.1,klebsiella,MN101218,official_cdhit_seq_cluster_40_02383,JN627160,official_cdhit_seq_cluster_40_01822,29.167,,11,,2.8,29.3,False,
test,AEV89573.1,pseudomonas,klebsiella,WNA13782.1,klebsiella,OQ830459,official_cdhit_seq_cluster_40_02503,JN627160,official_cdhit_seq_cluster_40_04382,33.898,,28,,0.25,30.4,False,
test,AEV89620.1,pseudomonas,klebsiella,QGH72010.1,klebsiella,MN642089,official_cdhit_seq_cluster_40_02674,JN627160,official_cdhit_seq_cluster_40_02597,31.683,,99,,2.00e-41,152.0,False,
test,AEV89640.1,pseudomonas,klebsiella,UYL05423.1,klebsiella,OP617745,official_cdhit_seq_cluster_40_01362,JN627160,official_cdhit_seq_cluster_40_02459,28.333,,12,,2.0,29.6,False,
test,AFD10690.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,JN254801,official_cdhit_seq_cluster_40_04310,52.489,,100,,2.32e-64,197.0,True,
test,AFD10692.1,pseudomonas,acinetobacter,URG13838.1,acinetobacter,ON323491,official_cdhit_seq_cluster_40_03345,JN254801,official_cdhit_seq_cluster_40_04209,29.688,,27,,2.5,27.7,False,
test,AFH14611.1,pseudomonas,escherichia,SMH63911.1,escherichia,LT841304,official_cdhit_seq_cluster_40_03383,JQ768459,official_cdhit_seq_cluster_40_01121,31.818,,19,,4.07e-05,45.1,False,
test,AFH14764.1,pseudomonas,escherichia,QYC96896.1,escherichia,MZ398243,official_cdhit_seq_cluster_40_00497,JQ768459,official_cdhit_seq_cluster_40_00432,30.769,,7,,1.3,31.6,False,
test,AFH14765.1,pseudomonas,pseudomonas,QFR59610.1,pseudomonas,MN504636,official_cdhit_seq_cluster_40_02452,JQ768459,official_cdhit_seq_cluster_40_02460,21.875,,25,,1.5,30.0,True,
test,AFH14767.1,pseudomonas,escherichia,QHR72935.1,escherichia,MN850624,official_cdhit_seq_cluster_40_00478,JQ768459,official_cdhit_seq_cluster_40_01169,35.714,,9,,0.31,32.7,False,
test,AFH14771.1,pseudomonas,escherichia,AVD99025.1,escherichia,MG710528,official_cdhit_seq_cluster_40_01008,JQ768459,official_cdhit_seq_cluster_40_03349,40.860,,51,,1.34e-18,85.1,False,
test,AFH14772.1,pseudomonas,staphylococcus,CP018841_00030,staphylococcus,CP018841,official_cdhit_seq_cluster_40_01415,JQ768459,official_cdhit_seq_cluster_40_04635,45.882,,49,,1.47e-13,65.9,False,
test,AFH14774.1,pseudomonas,escherichia,QUL77272.1,escherichia,MW250786,official_cdhit_seq_cluster_40_02349,JQ768459,official_cdhit_seq_cluster_40_01646,48.404,,28,,1.14e-26,113.0,False,
test,AFH14775.1,pseudomonas,klebsiella,QEG12101.1,klebsiella,MN013077,official_cdhit_seq_cluster_40_00396,JQ768459,official_cdhit_seq_cluster_40_00090,42.308,,2,,0.87,32.3,False,
test,AFH14777.1,pseudomonas,klebsiella,QFR57558.1,klebsiella,MN434096,official_cdhit_seq_cluster_40_01628,JQ768459,official_cdhit_seq_cluster_40_02976,28.814,,15,,2.6,28.5,False,
test,AFH14778.1,pseudomonas,pseudomonas,QDH93841.1,pseudomonas,MN096267,official_cdhit_seq_cluster_40_00679,JQ768459,official_cdhit_seq_cluster_40_03220,29.545,,23,,2.3,28.9,True,
test,AFH14780.1,pseudomonas,klebsiella,URY99179.1,klebsiella,OL362270,official_cdhit_seq_cluster_40_03986,JQ768459,official_cdhit_seq_cluster_40_02679,35.714,,9,,3.1,28.5,False,
test,AFH14781.1,pseudomonas,klebsiella,UYL05708.1,klebsiella,OP617746,official_cdhit_seq_cluster_40_00217,JQ768459,official_cdhit_seq_cluster_40_02657,28.030,,28,,0.049,34.7,False,
test,AFH14786.1,pseudomonas,escherichia,AGD81076.1,escherichia,KC109329,official_cdhit_seq_cluster_40_00422,JQ768459,official_cdhit_seq_cluster_40_03437,28.671,,41,,0.099,32.7,False,
test,AFU62293.1,acinetobacter,klebsiella,AUV59228.1,klebsiella,MG770379,official_cdhit_seq_cluster_40_00293,JX560521,official_cdhit_seq_cluster_40_03291,30.822,,36,,1.0,29.6,False,
test,AFU62317.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,JX560521,official_cdhit_seq_cluster_40_03737,30.597,,46,,2.18e-08,53.1,False,
test,AFU62318.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,JX560521,official_cdhit_seq_cluster_40_01243,39.683,,17,,5.98e-18,85.5,False,
test,AFV50634.1,pseudomonas,pseudomonas,UVD41334.1,pseudomonas,ON778006,official_cdhit_seq_cluster_40_01115,JX676771,official_cdhit_seq_cluster_40_01323,40.984,,33,,6.35e-42,162.0,True,
test,AFV50639.1,pseudomonas,pseudomonas,QZA71262.1,pseudomonas,MZ501271,official_cdhit_seq_cluster_40_03070,JX676771,official_cdhit_seq_cluster_40_03350,46.193,,99,,1.78e-106,315.0,True,
test,AFV51022.1,acinetobacter,acinetobacter,QFG15400.1,acinetobacter,MN212906,official_cdhit_seq_cluster_40_00649,JX658790,official_cdhit_seq_cluster_40_00698,90.498,,28,,1.27e-125,390.0,True,
test,AFV51555.1,acinetobacter,acinetobacter,QOV07800.1,acinetobacter,MW056502,official_cdhit_seq_cluster_40_00649,JX976549,official_cdhit_seq_cluster_40_01515,78.182,,8,,1.10e-20,95.5,True,
test,AFV51556.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,JX976549,official_cdhit_seq_cluster_40_03737,29.457,,45,,4.90e-10,58.2,False,
test,AFV51565.1,acinetobacter,enterobacter,AAX45913.1,enterobacter,AY848689,official_cdhit_seq_cluster_40_02027,JX976549,official_cdhit_seq_cluster_40_01617,27.103,,13,,1.1,30.8,False,
test,AGC35291.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,KC294142,official_cdhit_seq_cluster_40_04310,52.941,,100,,1.04e-64,197.0,True,
test,AGC35305.1,acinetobacter,acinetobacter,WCF71633.1,acinetobacter,OQ101251,official_cdhit_seq_cluster_40_00649,KC311669,official_cdhit_seq_cluster_40_00853,61.433,,43,,1.98e-117,372.0,True,
test,AGS81961.1,pseudomonas,escherichia,QXV80034.1,escherichia,MZ501074,official_cdhit_seq_cluster_40_00122,KF147891,official_cdhit_seq_cluster_40_02672,31.646,,16,,7.8,27.7,False,
test,AGS82090.1,pseudomonas,pseudomonas,QRE00589.1,pseudomonas,MW460249,official_cdhit_seq_cluster_40_02439,KF147891,official_cdhit_seq_cluster_40_00033,34.940,,5,,0.23,34.3,True,
test,AGS82115.1,pseudomonas,escherichia,UTQ72552.1,escherichia,ON862890,official_cdhit_seq_cluster_40_00279,KF147891,official_cdhit_seq_cluster_40_00257,27.344,,9,,0.26,33.9,False,
test,AGS82119.1,pseudomonas,staphylococcus,QQV87982.1,staphylococcus,MW221967,official_cdhit_seq_cluster_40_02796,KF147891,official_cdhit_seq_cluster_40_02686,44.231,,30,,2.28e-11,63.9,False,
test,AGS82120.2,pseudomonas,escherichia,UZZ64190.1,escherichia,OP744025,official_cdhit_seq_cluster_40_02349,KF147891,official_cdhit_seq_cluster_40_03349,43.571,,64,,7.95e-17,77.4,False,
